AADFYear,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2008,37882,South West,Devon,A30,TR,292000,88665,A377,M5 Jct 31,3.6,2.23,0,226,29465,184,6435,745,287,120,165,307,1166,2790,39100
2008,47077,South West,Devon,A377,PU,290930,95000,B3183 New North Road,A396,1.2,0.74,74,213,13516,102,3465,342,212,94,19,38,129,834,18130
2008,56192,South West,Devon,M5,TM,296300,90200,31,30,5.7,3.54,0,345,66037,185,9161,955,261,117,205,368,1364,3270,78998
2008,56414,South West,Devon,A379,PR,296000,91040,A3015,M5 Jct 30,2.1,1.3,2,202,20530,71,3599,574,170,91,56,49,226,1166,25568
2008,77996,South West,Devon,A379,PU,294400,89750,Glasshouse Lane,A3015 Topsham Road,0.5,0.31,363,862,29495,258,6115,645,156,39,90,109,117,1156,37886
2008,77997,South West,Devon,A3015,PR,296530,93000,Moor Lane roundabout,M5 Jct 29,0.6,0.37,234,207,16706,81,2063,134,31,2,13,18,20,218,19275
2008,99845,South West,Devon,A3015,PU,294000,90610,A377 Frog Street,A379,3.9,2.42,436,302,23784,547,1941,242,43,14,22,12,28,361,26935
2008,99846,South West,Devon,A3015,PU,295301,91193,A379,Moor Lane roundabout,2.7,1.67,257,227,18358,89,2267,148,34,2,14,19,21,238,21179
2009,6407,South West,Devon,A379,PR,294000,89374,Sannerville Way Rndbt,Glasshouse Lane,0.9,0.55,101,716,26903,247,4792,476,153,54,52,32,125,892,33550
2009,16023,South West,Devon,M5,TM,296900,92000,30,29,1.8,1.11,0,337,63045,512,9563,1674,652,177,402,883,2565,6353,79810
2009,16382,South West,Devon,A379,PR,292400,88979,Bridge road/Sannerville Way Rndbt,A38 Mid Junction,3.5,2.17,33,178,12355,140,2367,291,72,30,31,22,136,582,15622
2009,16971,South West,Devon,A377,PU,291300,93000,A3015 Western Way,B3183 New North Road,2.1,1.3,95,198,9665,96,1491,163,106,44,12,14,89,428,11878
